City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,xingyi,24.1877,102.817,8.150000000000034,95,0,0.8,CN,1667863145
308,cervo,43.6702,-7.4101,12.760000000000048,69,86,9.38,ES,1667863145
309,adrar,20.5022,-10.0711,25.110000000000014,16,0,3.73,MR,1667863146
310,richards bay,-28.783,32.0377,21.55000000000001,89,99,5.11,ZA,1667863146
311,mahibadhoo,3.7833,72.9667,27.400000000000034,75,73,4.38,MV,1667863148
312,boguchany,58.3814,97.4531,-5.699999999999989,90,97,3.23,RU,1667863148
313,te anau,-45.4167,167.7167,18.02000000000004,48,47,0.88,NZ,1667863149
314,nanortalik,60.1432,-45.2371,-2.859999999999957,89,100,1.44,GL,1667863149
315,carahue,-38.7,-73.1667,13.430000000000007,71,1,1.73,CL,1667863150
316,kirakira,-10.4544,161.9205,28.680000000000007,76,86,3.63,SB,1667863150
317,ravar,31.2656,56.8055,13.010000000000048,42,0,1.61,IR,1667863166
318,korla,41.7597,86.1469,8.439999999999998,38,100,0.4,CN,1667863167
319,gimli,50.6336,-96.9907,-1.9899999999999523,80,97,3.6,CA,1667863167
320,borgarnes,64.5383,-21.9206,5.03000000000003,82,100,4.47,IS,1667863167
321,seara,41.1818,-7.8003,16.760000000000048,90,90,2.79,PT,1667863168
322,tiksi,71.6872,128.8694,-17.139999999999986,91,100,8.25,RU,1667863168
323,vitoria da conquista,-14.8661,-40.8394,18.340000000000032,74,90,3.21,BR,1667863183
324,ndele,8.4109,20.6473,23.970000000000027,67,99,2.34,CF,1667863185
325,ibotirama,-12.1853,-43.2206,25.420000000000016,61,100,1.21,BR,1667863186
326,kodiak,57.79,-152.4072,3.730000000000018,87,100,9.26,US,1667863186
327,sterling,39.0062,-77.4286,22.0,45,0,3.6,US,1667863186
